Stadium,Split,Set,PA,Hits,Singles,Doubles,Homeruns,Strikeoutper,Walkper,xBA,xSLG,xwOBA,BABIP,AVG,Hits/PA,Singles/PA,Doubles/PA,Homeruns/PA,K_rate,Walk_rate,xBA_avg,xSLG_avg,xwOBA_avg,BABIP_avg,AVG_avg,Hits_boost,Singles_boost,Doubles_boost,Homeruns_boost,K_rate_boost,Walk_rate_boost,xBA_avg_boost,xSLG_avg_boost,xwOBA_avg_boost,BABIP_avg_boost,AVG_avg_boost
"CIN","LHH","",4688,1022,633,206,164,17.7,10.6,0.237,0.32,0.3,0.27,0.233,0.218003413,0.1350255973,0.04394197952,0.03498293515,0.2341306533,0.08979899497,0.2376180905,0.3878190955,0.3102663317,0.2853165829,0.2390100503,0.9986813378,0.9654878583,1.04306501,1.102867975,1.013256036,1.098992388,0.9985439596,1.003710341,1.015635745,1.022964563,1.035390298
"CLE","LHH","",6452,1348,859,263,211,9.6,9.2,0.271,0.363,0.314,0.291,0.281,0.2089274644,0.1331370118,0.04076255425,0.03270303782,0.2421627907,0.08486046512,0.2337255814,0.3882372093,0.3065116279,0.2646976744,0.2152093023,0.9571040965,0.9519837051,0.9675939613,1.030992195,1.048017019,1.038552884,0.9821864449,1.004792456,1.003344978,0.9490382157,0.9322855818
"COL","LHH","",4720,1178,749,222,168,28.5,11.9,0.244,0.444,0.342,0.321,0.248,0.2495762712,0.1586864407,0.04703389831,0.03559322034,0.169095,0.099075,0.268135,0.429415,0.3409,0.323785,0.29313,1.143317717,1.134672498,1.116458888,1.122107756,0.7317987928,1.212515473,1.126785356,1.111364244,1.115912976,1.160887943,1.26983764
"CHW","LHH","",5179,1089,705,198,167,15.8,8,0.26,0.455,0.335,0.271,0.265,0.2102722533,0.1361266654,0.03823131879,0.03224560726,0.2175275229,0.1017798165,0.2376743119,0.3981788991,0.3185550459,0.2685,0.233646789,0.9632646224,0.9733609425,0.9075092048,1.016571292,0.9414020443,1.24561799,0.9987802195,1.030522435,1.042768288,0.962670947,1.012156678
"DET","LHH","",5414,1184,747,207,173,28.5,7,0.251,0.484,0.34,0.335,0.264,0.2186922793,0.1379756188,0.03823420761,0.03195419283,0.2301981567,0.0733640553,0.2448525346,0.3858341014,0.3053087558,0.2720552995,0.2235345622,1.001837059,0.9865817101,0.9075777777,1.007384195,0.9962372226,0.8978556869,1.028945308,0.9985729992,0.9994074574,0.9754179994,0.9683505644
"HOU","LHH","",4058,879,564,151,152,14.7,9.9,0.292,0.534,0.389,0.312,0.292,0.2166091671,0.1389847215,0.0372104485,0.03745687531,0.2649402985,0.09207462687,0.2210149254,0.3638358209,0.2936915423,0.2745522388,0.2240895522,0.9922942481,0.9937972048,0.8832764759,1.180861127,1.146592097,1.126842389,0.9287723771,0.9416394911,0.9613792988,0.9843704422,0.9707547783
"KCR","LHH","",5070,1139,737,242,119,13.7,8,0.274,0.468,0.347,0.289,0.279,0.2246548323,0.1453648915,0.04773175542,0.02347140039,0.2214880383,0.07432057416,0.2495645933,0.4064832536,0.3143157895,0.2905550239,0.2401483254,1.029151725,1.039418011,1.133024148,0.7399566594,0.9585421155,0.9095619086,1.048746822,1.052014843,1.02889137,1.041746294,1.0403213
"LAA","LHH","",4407,928,600,167,146,14.9,9.6,0.263,0.381,0.322,0.273,0.244,0.2105740867,0.1361470388,0.03789425913,0.03312911278,0.212437788,0.1024193548,0.2319493088,0.3805576037,0.3121474654,0.2721152074,0.2329907834,0.9646473316,0.9735066207,0.8995083106,1.044424585,0.919375007,1.253444889,0.9747220035,0.9849169535,1.021793509,0.975632791,1.009314866
"LAD","LHH","",5441,1144,682,230,211,23.4,11.2,0.307,0.669,0.446,0.335,0.309,0.2102554677,0.1253446058,0.04227164124,0.0387796361,0.2518095238,0.07205238095,0.2276666667,0.3727,0.2933761905,0.2567619048,0.2085761905,0.963187727,0.8962648374,1.003415648,1.222562331,1.089765549,0.8818029446,0.9567250304,0.9645807757,0.9603470161,0.9205855718,0.9035509756
"MIA","LHH","",5195,1211,785,231,162,20.7,7.9,0.295,0.546,0.385,0.331,0.284,0.2331087584,0.1511068335,0.04446583253,0.03118383061,0.2063451777,0.08859390863,0.2415380711,0.4096852792,0.3162538071,0.2918426396,0.2504111675,1.067879459,1.080475228,1.055499878,0.9830978439,0.893007788,1.084244108,1.015016918,1.06030197,1.035235339,1.046362869,1.084779879
